Municipality,DEWA ,KHDA,Police,DESC,Dubai Land,MBRHE (Housing),GDRFAD (Residency),DCD,CDA,RTA,DHA
Application,Payment,Contract,Status,Trust Services,Location Services,Application,Other,Certificate,Other,Other,Other
Application,Other,Contract,Other,Other,Real Estate,Application,Other,Certificate,Other,Other,Other
Application,Other,Other,Other,Other,Real Estate,Application,Other,Certificate,Other,Other,Other
Application,Other,Certificate,Other,Other,Other,Application,Other,Other,Other,Other,Other
Application,Other,Other,Other,Other,Other,Application,Visa and Residency,Certificate,Other,Other,Other
Application,Other,Other,Other,Other,Other,Application,Other,Other,Other,Other,Other
Application,Other,Other,Other,Utility and Infrastructure,Other,Application,Permit,Other,Other,Other,Other
Application,Other,Permit,Other,Certificate,Other,Other,Other,Certificate,Other,Application,Other
Application,Other,,Other,Other,Certificate,Application,Other,Request,Other,Application,Other
Application,Other,,Permit,,Other,Application,Visa and Residency,Request,Medical Services,Other,Other
Application,Other,,Permit,,Real Estate,Application,Visa and Residency,Request,Registration,Application,Other
Application,Other,,Permit,,Licensing,Application,Licensing,Request,Other,Other,Other
Application,Verification and Validation,,Request,,Other,Application,Visa and Residency,Request,Other,Other,Other
Application,Other,,Permit,,Other,Application,Visa and Residency,Request,Other,Other,Medical Services
Application,Other,,Permit,,Real Estate,Application,Visa and Residency,Request,Other,Other,Other
Application,Other,,Permit,,Real Estate,Application,Visa and Residency,Request,Other,Other,Medical Services
Application,Other,,Other,,Real Estate,Other,Other,Request,Other,Other,Other
Application,Other,,Other,,Other,Application,Other,Request,Other,Other,Other
Application,Other,,Other,,Application,Application,Licensing,Request,Other,Other,Other
Application,Payment,,Legal and Compliance,,Status,Documentation,Other,Permit,Request,Other,Other
Application,Other,,Other,,Other,Request,Other,Request,,Other,Other
Application,Other,,Other,,Real Estate,Application,Other,Request,,Application,Other
Application,Other,,Other,,Real Estate,Other,Permit,Request,,Application,Other
Application,Other,,Other,,Real Estate,Application,Other,Request,,Application,Other
Application,Other,,Financial Services,,Real Estate,Application,Other,Request,,Application,Other
Application,Other,,Other,,Status,Application,Other,Request,,Other,Other
Application,Other,,Certificate,,Rental Services,Application,Other,Request,,Other,Other
Application,Request,,Certificate,,Other,Other,Licensing,Request,,Other,Other
Application,Certificate,,Certificate,,Other,Application,Other,Request,,Other,Other
Application,Licensing,,Certificate,,Registration,Application,Other,Request,,Other,Other
Application,Other,,Certificate,,Certificate,Request,Licensing,Request,,Other,Other
Application,Request,,Certificate,,Verification and Validation,Application,Other,Request,,Application,Other
Application,Other,,Other,,Real Estate,Application,Other,Request,,Application,Other
Application,Payment,,Other,,Certificate,Application,Other,Documentation,,Application,Other
Application,Other,,Other,,Certificate,Registration,Other,Request,,Application,Other
Application,Other,,Other,,Other,,Other,Other,,Other,Other
Application,Other,,Other,,Request,,Other,Registration,,Application,Other
Application,Other,,Other,,Application,,Other,Other,,Application,Other
Application,Other,,Medical Services,,Licensing,,Other,Other,,Application,Other
Application,Other,,Other,,Other,,,Other,,Application,Other
Application,Other,,Other,,Real Estate,,,Request,,Application,Other
Application,Other,,Other,,Other,,,Other,,Application,Other
